epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6042791604995728,0.647071361541748,0.6590985059738159,0.6530434489250183,0.7089676260948181,0.6241514682769775
1,0.6367963552474976,0.6850087642669678,0.6396608352661133,0.6439130306243896,0.7386264801025391,0.6432886719703674
2,0.6516475677490234,0.7060145735740662,0.6256546974182129,0.6702898740768433,0.7618884444236755,0.5973373055458069
3,0.6652402877807617,0.7257035374641418,0.6112727522850037,0.6952173709869385,0.7750766277313232,0.5865336656570435
4,0.6761632561683655,0.7388878464698792,0.6006301045417786,0.7152174115180969,0.7885245084762573,0.5556765794754028
5,0.6846605539321899,0.750594973564148,0.5905715227127075,0.7068116068840027,0.7918885946273804,0.5608873963356018
6,0.691990852355957,0.7597247362136841,0.5821626782417297,0.7099999785423279,0.7989529967308044,0.6022117137908936
7,0.6926925778388977,0.761620283126831,0.5806347131729126,0.7252174019813538,0.8069421648979187,0.5405595302581787
8,0.702707827091217,0.7735700011253357,0.5691532492637634,0.733768105506897,0.8137782216072083,0.5289052128791809
9,0.7078871130943298,0.7787941098213196,0.5642999410629272,0.7130434513092041,0.8107255101203918,0.5750051140785217
10,0.7094736695289612,0.7829974889755249,0.5593726634979248,0.7471014261245728,0.8214735388755798,0.5176022052764893
11,0.7164607048034668,0.7889113426208496,0.5535817742347717,0.7328985333442688,0.8168678879737854,0.5461997985839844
12,0.7172539830207825,0.7928138375282288,0.5489727258682251,0.7479709982872009,0.8265529870986938,0.5145591497421265
13,0.7211288809776306,0.797207236289978,0.5443065166473389,0.7246376872062683,0.8268758654594421,0.548050045967102
14,0.7228832840919495,0.7980639338493347,0.5432579517364502,0.75,0.832233190536499,0.5036372542381287
15,0.7255072593688965,0.8025527000427246,0.5381052494049072,0.7459420561790466,0.8219923377037048,0.5273633003234863
16,0.7282990217208862,0.8056510090827942,0.5343205332756042,0.7398550510406494,0.8305538892745972,0.5346508622169495
17,0.7322578430175781,0.8098248243331909,0.5299139022827148,0.7559420466423035,0.837187647819519,0.5034344792366028
18,0.7321052551269531,0.8092941045761108,0.5297154188156128,0.7428985238075256,0.8346943855285645,0.5310171246528625
19,0.7341495156288147,0.8135358095169067,0.5251781940460205,0.747826099395752,0.8360469937324524,0.5229821801185608
20,0.7380015254020691,0.8169206976890564,0.520979106426239,0.7484058141708374,0.8355129957199097,0.5325193405151367
21,0.7371395826339722,0.8160310387611389,0.5217763185501099,0.7537680864334106,0.837554395198822,0.5115116834640503
22,0.7412890791893005,0.819503128528595,0.5178676843643188,0.7414492964744568,0.8360726833343506,0.550530195236206
23,0.7415179014205933,0.8197506070137024,0.5175363421440125,0.7559420466423035,0.8386292457580566,0.5093821883201599
24,0.7425858378410339,0.823465883731842,0.5128465294837952,0.752173900604248,0.846344530582428,0.5046501755714417
25,0.7453928589820862,0.8253266215324402,0.5103593468666077,0.7462319135665894,0.8407238125801086,0.5360786318778992
26,0.7454843521118164,0.8258411884307861,0.5098811984062195,0.7517391443252563,0.8429240584373474,0.5043816566467285
27,0.7486651539802551,0.8283956050872803,0.5063796043395996,0.760869562625885,0.8425363302230835,0.5109265446662903
28,0.7504881620407104,0.830136239528656,0.5044112801551819,0.7599999904632568,0.847589910030365,0.49585166573524475
29,0.7504194974899292,0.8311545848846436,0.5025665163993835,0.7602898478507996,0.8466641306877136,0.492554634809494
